name,phone,address,postalZip,country,currency,color,model,numberOfCustomizations
Xaviera Byers,(395) 571-7381,"P.O. Box 495, 3058 Vestibulum Ave",75-713,Mexico,$113.83 ,yellow,Cruiser,2
Clementine Rosales,(664) 434-1560,"467-2352 Amet, Ave",24-871,India,$80.99 ,red,Ninja,2
Paki Evans,1-582-272-2753,"P.O. Box 710, 4627 Vulputate Rd.",0274,Italy,$200.53 ,blue,Hero,10
Ramona Dawson,(382) 561-8331,956 Diam Ave,15963,Netherlands,$173.75 ,green,Hero,2
Ivy Cain,1-638-915-7269,"P.O. Box 820, 824 Ut Ave",277037,Peru,$64.75 ,red,Roadster,2
Lucas Galloway,1-636-268-4591,Ap #368-6764 Sed St.,132383,Russian Federation,$283.60 ,indigo,Racer,3
Garth Mitchell,(774) 386-4664,776-9164 Sagittis Av.,515703,New Zealand,$192.10 ,green,Roadster,2
Kasper English,(126) 404-1434,"Ap #586-1858 Sed, Rd.",78756,Mexico,$245.48 ,indigo,Cruiser,9
Craig Miles,1-255-933-7603,7156 Tellus Street,63306,Norway,$156.91 ,red,Hero,1
Amela Hughes,(248) 752-5171,984-9245 Consequat Avenue,763753,South Africa,$271.15 ,green,Racer,2
Yen Foley,(862) 515-1568,"3928 Amet, Rd.",1771,France,$115.92 ,violet,Ninja,6
Brittany Holcomb,(830) 946-7328,Ap #903-3790 Nibh Street,8143,France,$103.64 ,blue,Cruiser,10
Trevor Levine,(302) 467-5282,"P.O. Box 580, 8815 Duis Rd.",1836,Pakistan,$155.07 ,blue,Hero,8
Azalia Kidd,(234) 984-3465,439-559 Malesuada Av.,1835,Poland,$219.34 ,violet,Cruiser,1
Odette Goff,1-768-305-7206,597-9980 Sit Rd.,458484,Colombia,$197.57 ,green,Hero,9
Carolyn William,1-466-745-3104,774-7022 Ipsum. Ave,667341,South Africa,$140.43 ,yellow,Roadster,5
Castor Vaughn,1-891-529-1275,Ap #112-7160 Mauris Ave,2441,Peru,$203.76 ,green,Hero,2
Avram Russo,(332) 925-0423,875-3928 Risus. Road,335181,Vietnam,$226.01 ,green,Ninja,2
Reed Lowe,1-317-780-6236,"P.O. Box 725, 2828 Mollis St.",136115,Peru,$250.57 ,indigo,Racer,9
Quinn Alvarez,1-767-787-7330,"P.O. Box 582, 8336 Sem. Avenue",07276,New Zealand,$59.46 ,red,Trickster,10
Xena Blackwell,1-140-273-6658,"P.O. Box 596, 6812 Hendrerit Rd.",601878,New Zealand,$272.55 ,red,Ninja,6
Mechelle Richard,1-855-422-3121,Ap #402-4696 Et Ave,5981,China,$65.07 ,blue,Cruiser,7
Clio David,(410) 347-4154,"P.O. Box 861, 9849 Etiam Av.",17987-539,United States,$236.44 ,violet,Roadster,9
Yeo Stafford,(745) 774-5115,513-2256 Nunc. Avenue,71202,China,$239.41 ,indigo,Hero,6
